1455217088.07, 7.1537, -0.095, -0.0843
1455217088.16, 7.4686, -0.0944, -0.086
1455217088.27, 7.788, -0.0992, -0.0776
1455217088.37, 8.0733, -0.1175, -0.1061
1455217088.46, 8.3727, -0.1244, -0.1154
1455217088.57, 8.6837, -0.1138, -0.1064
1455217088.67, 9.0181, -0.1073, -0.1037
1455217088.86, 9.6148, -0.1131, -0.1199
1455217088.97, 9.9296, -0.1077, 0.0
1455217089.07, 10.2294, -0.1141, 0.0
1455217089.17, 10.5379, -0.1127, 0.0
1455217089.26, 10.8412, -0.1107, 0.0
1455217089.37, 11.1364, -0.1401, 0.0215
1455217089.46, 11.4532, -0.1175, -0.0505
1455217089.57, 11.7464, -0.1278, -0.0147
1455217089.67, 12.039, -0.1305, -0.0118
1455217089.76, 12.3375, -0.1261, -0.0105
1455217089.87, 12.6367, -0.1225, -0.0092
1455217089.96, 12.9411, -0.0971, -0.0254
1455217090.07, 13.23, -0.0923, -0.0242
1455217090.17, 13.523, -0.0889, -0.0229
1455217090.27, 13.8054, -0.0974, -0.0235
1455217090.37, 14.0933, -0.0972, -0.0229
1455217090.47, 14.3765, -0.0879, -0.0224
1455217090.56, 14.6615, -0.092, -0.0228
1455217090.67, 14.942, -0.0979, -0.0229
1455217090.77, 15.2302, -0.101, -0.0234
1455217090.86, 15.5111, -0.106, -0.0259
1455217090.97, 15.7996, -0.1136, -0.0273
1455217091.06, 16.0807, -0.1304, -0.0278
1455217091.17, 16.3599, -0.1357, -0.0287
1455217091.27, 16.6434, -0.1411, -0.0304
1455217091.37, 16.9208, -0.1499, 0.0
1455217091.47, 17.207, -0.1483, 0.0
1455217091.56, 17.4855, -0.1501, 0.0
1455217091.67, 17.7792, -0.1687, -0.1114
1455217091.77, 18.0417, -0.1605, 0.0
1455217091.87, 18.3228, -0.1676, 0.0
1455217091.96, 18.6331, -0.1828, 0.03
1455217092.07, 18.8659, -0.1566, -0.0919
1455217092.17, 19.1119, -0.1512, -0.0956
1455217092.26, 19.3909, -0.1426, -0.0999
1455217092.37, 19.6956, -0.1374, -0.1046
1455217092.46, 19.9869, -0.1321, -0.1092
1455217092.57, 20.2648, -0.1845, -0.0378
1455217092.67, 20.555, -0.1974, -0.0363
1455217092.76, 20.8429, -0.2104, -0.0534
1455217092.87, 21.0995, -0.2047, -0.0345
1455217092.96, 21.3672, -0.1936, 0.0286
1455217093.07, 21.6199, -0.1999, 0.0
1455217093.17, 21.904, -0.1952, 0.0238
1455217093.26, 22.1904, -0.1896, 0.034
1455217093.36, 22.4583, -0.1898, 0.035
1455217093.47, 22.7232, -0.1801, 0.026
1455217093.57, 22.9687, -0.1888, 0.0
