1676256001.42, 38.4269, -1.5528, 0.0
1676256001.52, 38.4282, -1.5527, 0.0
1676256001.61, 38.4325, -1.551, 0.0
1676256001.82, 38.435, -1.5516, 0.0
1676256002.01, 38.4231, -1.5522, 0.0
1676256002.12, 38.4251, -1.5529, 0.0
1676256002.21, 38.4225, -1.5522, 0.0
1676256002.32, 38.4369, -1.5523, 0.0
1676256002.41, 38.4251, -1.5529, 0.0
1676256002.62, 38.4225, -1.5523, 0.0
1676256002.71, 38.4238, -1.553, 0.0
1676256002.82, 38.4306, -1.5518, 0.0
1676256002.91, 38.4313, -1.5525, 0.0
1676256003.01, 38.4307, -1.5526, 0.0
1676256003.12, 38.4375, -1.5515, 0.0
1676256003.22, 38.4338, -1.5524, 0.0
1676256003.31, 38.4207, -1.5531, 0.0
1676256003.41, 38.4307, -1.5526, 0.0
1676256003.51, 38.4344, -1.5524, 0.0
1676256003.62, 38.4212, -1.5516, 0.0
1676256003.71, 38.43, -1.5519, 0.0
1676256003.81, 38.4269, -1.5528, 0.0
1676256003.92, 38.4256, -1.5521, 0.0
1676256004.02, 38.4344, -1.5524, 0.0
1676256004.21, 38.4251, -1.5529, 0.0
1676256004.32, 38.4269, -1.5528, 0.0
1676256004.41, 38.4269, -1.5528, 0.0
1676256004.51, 38.4325, -1.5517, 0.0
1676256004.62, 38.4219, -1.553, 0.0
1676256004.71, 38.4294, -1.5512, 0.0
1676256004.81, 38.4307, -1.5526, 0.0
1676256005.02, 38.4207, -1.5523, 0.0
1676256005.11, 38.4313, -1.5518, 0.0
1676256005.22, 38.4319, -1.5518, 0.0
1676256005.31, 38.4276, -1.5528, 0.0
1676256005.41, 38.4281, -1.552, 0.0
1676256005.51, 38.4263, -1.5528, 0.0
1676256005.62, 38.4276, -1.5527, 0.0
1676256005.72, 38.4331, -1.5509, 0.0
1676256005.92, 38.4369, -1.5523, 0.0
1676256006.01, 38.4326, -1.5525, 0.0
1676256006.11, 38.4307, -1.5526, 0.0
//最后一次跳变是检测对象转移
